CaseID,Title,DateOpened,Status,AssignedDetectiveID,CrimeType,Location
C1000,Other along,2025-03-05,Closed,D1198,Robbery,"Kevinmouth, NC"
C1001,Attention team,2023-05-17,Open,D1114,Narcotics,"Aprilshire, SC"
C1002,Black western myself,2023-03-18,Closed,D1007,Narcotics,"Kellystad, SC"
C1003,But building,2022-11-26,Closed,D1184,Cyber Crime,"Garzaberg, TN"
C1004,Place score design,2023-08-03,Open,D1090,Homicide,"Nealmouth, SD"
C1005,Feel seat appear,2022-07-28,Open,D1091,Homicide,"North Michael, AL"
C1006,Rather bank,2024-07-22,Closed,D1089,Robbery,"Smithton, RI"
C1007,Their record,2022-05-01,Open,D1059,Cyber Crime,"East Karen, ID"
C1008,Leave form collection,2022-10-06,Open,D1152,Robbery,"Wongchester, NV"
C1009,Firm decade cost,2022-12-11,Open,D1000,Robbery,"Kristinafurt, NM"
C1010,Somebody keep,2023-12-22,Open,D1191,Homicide,"New Jennifer, MS"
C1011,Plan that,2022-06-16,Closed,D1094,Homicide,"Brianburgh, RI"
C1012,Beautiful than seem sign,2023-08-01,Open,D1036,Robbery,"Robertton, UT"
C1013,Upon value ok,2024-07-05,Closed,D1028,Narcotics,"Scottfort, MA"
C1014,Animal,2023-06-13,Closed,D1181,Cyber Crime,"East Michaelport, AL"
C1015,Skill quite,2022-11-30,Open,D1007,Robbery,"Grantbury, ID"
C1016,Bill third some follow,2023-10-05,Closed,D1085,Narcotics,"Barryview, NC"
C1017,Hard decide,2022-07-03,Closed,D1075,Fraud,"Jacobborough, TX"
C1018,Might his,2023-08-07,Closed,D1047,Fraud,"Cooperbury, ME"
C1019,Across manager,2024-08-30,Open,D1026,Fraud,"Williamschester, NH"
C1020,Beat drop,2024-03-09,Closed,D1040,Narcotics,"South Nicole, NV"
C1021,Stand next,2024-12-02,Open,D1032,Robbery,"Williamsburgh, NM"
C1022,Subject everything,2023-04-02,Closed,D1130,Robbery,"Luischester, OH"
C1023,Must cut father kid,2023-07-13,Open,D1193,Robbery,"Herreraview, IN"
C1024,Past Republican,2022-05-21,Closed,D1095,Narcotics,"Lake Robert, LA"
C1025,Site,2025-02-13,Open,D1033,Fraud,"Trevinoville, SD"
C1026,Wife north,2023-06-23,Open,D1100,Homicide,"Lake Jennifer, TN"
C1027,Science top,2023-07-08,Open,D1033,Narcotics,"New Kylemouth, MN"
C1028,Expert commercial special,2024-12-27,Closed,D1140,Narcotics,"Michaeltown, DC"
C1029,Wish member,2023-12-31,Open,D1151,Narcotics,"East Kathyfort, WI"
C1030,Dog car,2025-04-10,Closed,D1163,Cyber Crime,"Port Patrick, OR"
C1031,Material truth pattern ago,2022-11-17,Open,D1063,Narcotics,"Tracyport, IN"
C1032,Produce manager,2024-09-04,Closed,D1163,Fraud,"Payneland, DC"
C1033,Region start size,2024-11-19,Open,D1096,Narcotics,"Acevedoborough, MD"
C1034,Television protect process,2023-05-18,Open,D1106,Cyber Crime,"West Max, ME"
C1035,Of around piece,2022-05-22,Closed,D1052,Cyber Crime,"Andrewton, IA"
C1036,Draw,2022-07-04,Closed,D1120,Homicide,"Carlton, TN"
C1037,Throughout describe,2024-02-11,Open,D1027,Cyber Crime,"Thomasport, SD"
C1038,Him important enough,2023-09-18,Open,D1142,Fraud,"Maloneshire, DE"
C1039,Commercial may perform,2024-01-21,Open,D1179,Narcotics,"North Mark, HI"
C1040,Sure,2023-05-14,Closed,D1047,Narcotics,"Lake Kristin, OH"
C1041,Interview ten,2023-01-12,Closed,D1044,Robbery,"New Courtneyberg, PA"
C1042,Future scene,2022-06-27,Closed,D1087,Fraud,"Johnsonton, CO"
C1043,Public leader,2023-11-03,Open,D1090,Narcotics,"Francisfurt, KY"
C1044,Address morning explain,2024-05-29,Open,D1123,Robbery,"Maddenside, OH"
C1045,Lose,2023-06-07,Closed,D1000,Narcotics,"Griffithfurt, NM"
C1046,Explain,2022-07-14,Closed,D1001,Robbery,"West Erinshire, WI"
C1047,Several might,2023-07-20,Closed,D1029,Cyber Crime,"Goodview, DE"
C1048,Source wall drug,2024-09-21,Open,D1108,Narcotics,"Franciscoberg, WA"
C1049,Staff north weight guy,2022-05-10,Open,D1173,Narcotics,"Marcusfurt, NE"
C1050,Story,2023-01-15,Open,D1139,Narcotics,"New Bradley, MA"
C1051,Travel professional production,2022-05-10,Closed,D1161,Homicide,"Julieborough, OH"
C1052,Wear community,2024-02-13,Open,D1069,Homicide,"North Donna, OR"
C1053,Place myself his,2022-10-13,Open,D1065,Narcotics,"Bakerport, NE"
C1054,Mrs never,2023-07-05,Closed,D1113,Homicide,"Jameschester, FL"
C1055,Choice produce type,2022-05-05,Closed,D1090,Cyber Crime,"Wardton, MT"
C1056,Sometimes set tonight gun,2025-01-09,Open,D1152,Homicide,"Lake James, SC"
C1057,Affect same number,2025-04-17,Open,D1018,Cyber Crime,"West Jacob, MT"
C1058,Large season last,2022-08-25,Closed,D1136,Cyber Crime,"East Frankland, SC"
C1059,Education think,2023-12-30,Open,D1135,Robbery,"Chelsealand, AK"
C1060,Sound,2024-05-30,Open,D1017,Narcotics,"Jamesfurt, NE"
C1061,Pull recent state old,2025-01-07,Closed,D1072,Fraud,"Mariaberg, VT"
C1062,State huge TV,2023-07-02,Open,D1146,Fraud,"North Christopher, MI"
C1063,Available,2023-11-07,Open,D1136,Homicide,"Lake Daniel, NJ"
C1064,Up suddenly war,2022-07-01,Closed,D1162,Fraud,"Philipberg, SC"
C1065,Provide other identify,2023-06-27,Closed,D1189,Cyber Crime,"Williamburgh, DC"
C1066,Show,2024-05-12,Closed,D1113,Cyber Crime,"Port Angelafurt, MI"
C1067,Ball company,2024-10-22,Open,D1040,Homicide,"Jamesview, UT"
C1068,Military lead,2023-05-25,Open,D1097,Narcotics,"Port Rachel, FL"
C1069,One political almost serious,2022-06-24,Closed,D1035,Fraud,"East Deborahmouth, IA"
C1070,City four pretty,2024-04-07,Closed,D1090,Narcotics,"Ingramton, CO"
C1071,Able simple billion,2024-07-08,Closed,D1055,Narcotics,"Ashleymouth, MS"
C1072,Would technology budget,2024-06-29,Closed,D1177,Fraud,"Saraburgh, DC"
C1073,Though cover including,2022-05-25,Closed,D1126,Homicide,"Lake Larryfurt, AR"
C1074,Group strong,2024-11-13,Closed,D1076,Robbery,"South Brianstad, RI"
C1075,None sound,2023-05-28,Closed,D1013,Fraud,"Whitemouth, KS"
C1076,Ask benefit ago,2023-02-15,Open,D1006,Cyber Crime,"East Richardtown, NH"
C1077,Live teach movie,2024-09-02,Closed,D1100,Homicide,"Gibbsview, SD"
C1078,Student bag,2024-07-05,Open,D1175,Homicide,"Stephaniefort, FL"
C1079,Source where a front,2024-07-06,Closed,D1001,Cyber Crime,"East Greg, GA"
C1080,Wall various,2025-01-14,Open,D1029,Fraud,"Sonyafort, SC"
C1081,Analysis drive example,2025-03-14,Open,D1069,Cyber Crime,"East Michael, MT"
C1082,Theory case north,2024-04-14,Open,D1036,Fraud,"East Sarahtown, MS"
C1083,Affect station,2023-01-18,Closed,D1048,Homicide,"North Brandonville, RI"
C1084,Purpose here,2022-12-11,Closed,D1117,Cyber Crime,"South Samuelmouth, IA"
C1085,Member mouth authority,2022-11-26,Closed,D1043,Cyber Crime,"Knightstad, NE"
C1086,Likely different,2024-03-03,Closed,D1165,Narcotics,"Allenfort, OR"
C1087,Your those,2022-08-11,Open,D1114,Robbery,"Amyfort, IA"
C1088,Popular,2023-06-29,Closed,D1033,Robbery,"Michellefurt, CT"
C1089,Charge,2024-08-03,Open,D1113,Cyber Crime,"Johnsonchester, MO"
C1090,Require page,2024-02-27,Closed,D1109,Narcotics,"East Matthew, GA"
C1091,Seven both,2024-10-28,Closed,D1186,Robbery,"Michaelstad, NJ"
C1092,Send cultural whatever,2024-12-30,Open,D1112,Robbery,"Lake Brandy, MS"
C1093,Film,2025-01-05,Open,D1099,Homicide,"Johnsonchester, MS"
C1094,Care book ground,2023-03-15,Open,D1162,Homicide,"South Barbaramouth, SD"
