EvidenceID,CaseID,Type,Description,CollectedBy,DateCollected
E1000,C2944,Weapon,American lead radio,D1196,2024-03-17
E1001,C2109,Witness Statement,Season under idea,D1065,2024-03-19
E1002,C2408,Weapon,Chance ask find pretty scene thousand,D1036,2024-06-03
E1003,C1310,Witness Statement,President sometimes exactly course important security,D1135,2022-07-06
E1004,C2377,Witness Statement,Interest can interview likely public,D1017,2024-01-07
E1005,C1448,Document,Ground small home move become,D1184,2022-05-10
E1006,C1488,Fingerprints,People short despite easy,D1052,2022-08-21
E1007,C1154,Document,Call suggest phone once minute,D1069,2024-02-14
E1008,C2992,Weapon,Already bar third practice soldier least,D1009,2024-05-23
E1009,C1965,Document,Far rise everybody,D1070,2025-04-06
E1010,C2103,CCTV,Will wind perform push risk product,D1111,2023-10-08
E1011,C1463,CCTV,Per if smile I,D1148,2024-01-12
E1012,C2962,Witness Statement,Tend hit seem,D1016,2022-06-25
E1013,C2631,Document,Work miss book note,D1030,2022-12-02
E1014,C2848,DNA,Team area support room tell,D1146,2023-04-30
E1015,C1586,Fingerprints,Want front event effort perform,D1088,2024-11-02
E1016,C2474,DNA,Animal receive share beautiful perhaps human edge,D1194,2023-11-07
E1017,C2338,Weapon,Four huge either drive,D1032,2024-05-07
E1018,C1763,Witness Statement,Tell well region,D1187,2023-04-26
E1019,C2555,Fingerprints,Agreement research really exactly peace country,D1077,2023-08-21
E1020,C2135,DNA,Card reality work trip,D1192,2022-10-18
E1021,C1991,Witness Statement,Wonder fear expert election evidence,D1100,2023-12-13
E1022,C2903,Fingerprints,Score see allow low you couple,D1198,2022-07-23
E1023,C2862,Document,Certainly image place reality money,D1129,2022-11-26
E1024,C2104,Document,Image east buy wonder,D1152,2023-04-22
E1025,C1552,Witness Statement,Bag color although,D1185,2022-12-29
E1026,C1796,DNA,East information policy nor recently water,D1052,2024-02-20
E1027,C2240,Witness Statement,Item purpose image happy,D1065,2024-02-25
E1028,C1836,DNA,Stage garden its,D1040,2024-06-27
E1029,C1037,Witness Statement,Carry himself source only property TV,D1037,2025-02-15
E1030,C2532,DNA,Statement group candidate nice push any,D1029,2025-02-18
E1031,C2985,Fingerprints,Leg mission war,D1193,2025-03-07
E1032,C2833,Fingerprints,Between million figure once analysis,D1048,2023-09-22
E1033,C1470,DNA,Identify lay school try,D1114,2023-04-13
E1034,C1645,Fingerprints,Care environment soon store,D1187,2024-02-21
E1035,C1751,DNA,Hear report join order,D1161,2022-11-12
E1036,C1273,Document,Person institution bed whether white,D1166,2022-12-09
E1037,C1908,CCTV,Middle the sport tonight section simple,D1052,2022-05-12
E1038,C1082,CCTV,Training plant agent loss goal,D1086,2023-11-03
E1039,C2621,Document,Along term behind property,D1165,2023-12-05
E1040,C2446,CCTV,Interesting reach low audience,D1012,2024-11-09
E1041,C1816,CCTV,Southern word face,D1160,2023-07-06
E1042,C2172,DNA,Ok service Republican always can nearly,D1190,2023-10-31
E1043,C2332,DNA,Current response specific return less,D1160,2025-04-15
E1044,C2762,Fingerprints,Drop former different learn trade,D1041,2023-04-09
E1045,C1921,DNA,Act good section often how college,D1127,2022-12-07
E1046,C1891,Witness Statement,Enough score enough age top,D1025,2022-08-26
E1047,C2991,CCTV,Every prevent now nothing low,D1115,2025-03-28
E1048,C1993,Weapon,While move building reveal near either,D1155,2022-09-28
E1049,C1628,Fingerprints,Scene key us,D1122,2025-02-24
E1050,C2776,Witness Statement,Somebody stay your single card,D1199,2024-09-01
E1051,C2104,Document,Physical official against because both,D1037,2024-11-04
E1052,C2587,CCTV,Month note institution along,D1136,2023-05-07
E1053,C1140,Fingerprints,Miss fine side cover course race,D1072,2023-10-11
E1054,C2517,Weapon,Account face not occur leader,D1138,2024-08-19
E1055,C1704,Weapon,Himself between identify black section hope,D1000,2024-10-14
E1056,C2468,Document,Room father last general family property,D1046,2023-04-06
E1057,C2224,Document,Which discover tree experience whether,D1158,2024-02-09
E1058,C2167,Fingerprints,Deal difference out everybody wide four,D1070,2024-03-05
E1059,C2851,DNA,Six teach factor figure,D1133,2024-06-13
E1060,C2375,DNA,Step teacher leader,D1106,2024-01-30
E1061,C1960,Weapon,Gun war generation likely,D1055,2023-07-22
E1062,C1637,DNA,Image wait great determine protect how,D1114,2024-03-30
E1063,C1615,DNA,Bad audience community,D1027,2023-03-11
E1064,C1047,Witness Statement,Middle but among,D1185,2023-10-27
E1065,C2309,CCTV,Trip at new,D1060,2022-08-30
E1066,C1226,Fingerprints,Size result place imagine about business,D1035,2022-11-19
E1067,C1574,Witness Statement,Group box high industry,D1187,2025-03-02
E1068,C1047,DNA,Suddenly scene claim write,D1067,2022-09-16
E1069,C1318,Fingerprints,Everything effect check personal book final,D1100,2023-03-19
E1070,C1022,Fingerprints,Strong product sea until low,D1189,2023-05-30
E1071,C1033,CCTV,Wife responsibility less,D1122,2022-06-07
E1072,C2052,Witness Statement,Type full music,D1085,2024-04-30
E1073,C2170,Weapon,Make certainly book quickly century bad,D1072,2025-01-24
E1074,C1720,Witness Statement,Girl fear care,D1174,2024-11-05
E1075,C2620,Document,Wonder PM boy party,D1165,2022-09-04
E1076,C1317,Fingerprints,Fund more every,D1159,2025-01-13
E1077,C2455,DNA,Seek though over,D1116,2024-04-20
E1078,C1645,Document,Although store economic himself,D1031,2024-07-20
E1079,C1576,CCTV,Own hotel number cover,D1121,2023-05-16
E1080,C2766,Witness Statement,Admit fight nature should also,D1141,2022-11-09
E1081,C1722,Witness Statement,Continue agree crime moment reason,D1090,2022-08-06
E1082,C2394,CCTV,List day he once show indeed,D1121,2023-04-17
E1083,C1269,Document,Statement only fast,D1183,2023-10-04
